Date,Open,High,Low,Close,Volume,Change
2015-01-02,37900,38150,35950,36000,155910,-0.05013192612137207
2015-01-05,36000,36700,34200,35850,192612,-0.004166666666666652
2015-01-06,35450,36950,35100,35800,231653,-0.001394700139469962
2015-01-07,36100,37500,36050,36300,123289,0.013966480446927276
2015-01-08,36700,36700,35750,36200,78857,-0.0027548209366391463
2015-01-09,35800,36700,35100,36500,166479,0.008287292817679592
2015-01-12,36500,36500,35400,35400,74250,-0.03013698630136985
2015-01-13,35300,36400,34750,35150,139172,-0.007062146892655385
2015-01-14,35150,35600,33600,35200,262742,0.0014224751066855834
2015-01-15,35250,35350,32100,32100,414832,-0.08806818181818177
2015-01-16,31800,32000,30300,31200,337031,-0.028037383177570097
2015-01-19,31800,31800,30950,31200,97571,0.0
2015-01-20,31000,31850,30550,31400,115620,0.0064102564102563875
2015-01-21,31600,31800,31050,31400,77023,0.0
2015-01-22,31700,31900,31100,31400,100999,0.0
2015-01-23,31750,31900,31200,31400,58869,0.0
2015-01-26,31450,33400,31450,33100,129538,0.05414012738853513
2015-01-27,33400,34700,33400,34550,153440,0.04380664652567967
2015-01-28,34200,34950,33500,34400,100121,-0.00434153400868309
2015-01-29,34500,35300,34500,35000,76337,0.01744186046511631
2015-01-30,35300,35300,34300,34300,41131,-0.020000000000000018
2015-02-02,33650,34250,33100,33700,57760,-0.017492711370262426
2015-02-03,33750,35950,33500,35900,144712,0.06528189910979232
2015-02-04,37000,37000,34750,35700,146127,-0.005571030640668551
2015-02-05,35200,37250,35200,37250,143901,0.04341736694677878
2015-02-06,37250,38900,37000,38450,143301,0.03221476510067123
2015-02-09,38950,44000,38200,40150,418505,0.04421326397919367
2015-02-10,39850,40450,38000,40350,172559,0.00498132004981322
2015-02-11,40500,40650,39550,39700,128340,-0.01610904584882278
2015-02-12,39750,40400,38700,39950,153616,0.006297229219143663
2015-02-13,40100,40600,38600,38700,144529,-0.03128911138923651
2015-02-16,35000,37950,32900,36250,1352790,-0.06330749354005172
2015-02-17,36950,38300,35450,37900,167795,0.04551724137931035
2015-02-23,38950,39650,37250,38500,118281,0.0158311345646438
2015-02-24,38250,39500,37650,38800,81117,0.007792207792207684
2015-02-25,39150,39800,38250,39400,95976,0.015463917525773141
2015-02-26,39350,41550,39150,40800,183484,0.035532994923857864
2015-02-27,40800,42500,40350,41550,150263,0.018382352941176405
