Date,Open,High,Low,Close,Volume,Change
2017-07-07,87100,89700,75700,82300,1619864,
2017-07-10,82300,88000,81000,88000,840451,0.06925880923450789
2017-07-11,88000,88000,82700,82800,422303,-0.05909090909090908
2017-07-12,83700,84600,80000,83500,238407,0.008454106280193274
2017-07-13,83400,84000,80800,81600,218138,-0.022754491017964118
2017-07-14,81000,83200,80500,81000,195088,-0.007352941176470562
2017-07-17,81800,83000,80900,82200,141369,0.014814814814814836
2017-07-18,82400,83300,81500,83300,165584,0.01338199513381988
2017-07-19,83400,85100,83200,84600,223083,0.015606242496998712
2017-07-20,84600,84900,80000,80500,183151,-0.048463356973995286
2017-07-21,80500,81700,80200,81200,92821,0.008695652173912993
2017-07-24,81900,83000,81300,83000,123728,0.022167487684729092
2017-07-25,83400,83800,82600,83300,116806,0.0036144578313253017
2017-07-26,83300,85400,83100,85100,121061,0.021608643457383003
2017-07-27,85100,85600,84100,84200,68816,-0.010575793184488869
2017-07-28,83700,85500,83300,84800,95657,0.0071258907363420665
2017-07-31,81800,84500,81800,82100,77011,-0.03183962264150941
2017-08-01,82500,84900,82400,83500,89377,0.01705237515225333
2017-08-02,83100,83600,81900,82900,62216,-0.007185628742514938
2017-08-03,82000,83800,81000,83700,82484,0.00965018094089265
2017-08-04,84500,85300,83800,85300,63572,0.019115890083632125
2017-08-07,85600,85800,84300,85600,40097,0.003516998827667095
2017-08-08,86000,86000,84600,85000,40475,-0.007009345794392496
2017-08-09,84100,85900,84100,85600,38950,0.007058823529411784
2017-08-10,85000,87300,84500,85300,75619,-0.003504672897196248
2017-08-11,85200,86900,84600,86500,60086,0.014067995310668158
2017-08-14,87200,90000,86600,89400,106552,0.03352601156069368
2017-08-16,89400,98500,89200,95300,239188,0.06599552572706946
2017-08-17,95200,95200,91000,92200,129941,-0.03252885624344182
2017-08-18,91900,95800,90900,95400,94515,0.03470715835141003
2017-08-21,96400,96400,92400,92500,63817,-0.03039832285115307
2017-08-22,92700,94800,90800,93600,98102,0.011891891891891992
2017-08-23,93000,95400,93000,94300,78239,0.007478632478632452
2017-08-24,94400,94800,93100,93900,50476,-0.0042417815482502785
2017-08-25,93800,93800,91100,92200,60684,-0.018104366347177825
2017-08-28,91400,92000,89000,89600,101907,-0.02819956616052066
2017-08-29,89300,91000,89300,90800,74316,0.013392857142857206
2017-08-30,90300,90800,88600,90300,54611,-0.005506607929515406
2017-08-31,89700,91400,87300,87300,104709,-0.03322259136212624
2017-09-01,88000,88800,87300,87400,59116,0.001145475372279492
2017-09-04,87500,88700,85500,86400,47663,-0.011441647597253968
2017-09-05,86900,87600,84300,85200,61294,-0.01388888888888884
2017-09-06,85300,88700,85100,86300,103961,0.012910798122065748
2017-09-07,86900,87700,85400,86900,47383,0.006952491309385911
2017-09-08,86200,89000,86200,87300,49147,0.004602991944764101
2017-09-11,88400,92300,88400,91700,98648,0.05040091638029787
2017-09-12,91800,92600,90200,92500,58778,0.008724100327153872
2017-09-13,92100,94500,90400,93300,87262,0.00864864864864856
2017-09-14,93400,96700,93400,96000,150398,0.02893890675241151
2017-09-15,96000,96600,95300,96600,135228,0.006250000000000089
2017-09-18,96700,97500,96200,97000,55832,0.0041407867494824835
2017-09-19,96300,97300,95600,97100,70406,0.0010309278350515427
2017-09-20,97400,98700,96500,97500,87986,0.004119464469618972
2017-09-21,96200,99400,96100,99100,117504,0.016410256410256396
2017-09-22,99500,100500,98400,99400,119851,0.003027245206861817
2017-09-25,99900,100000,95500,95900,96876,-0.035211267605633756
2017-09-26,95700,99400,94400,99000,88680,0.03232533889468203
2017-09-27,98500,99100,96400,98000,53926,-0.010101010101010055
2017-09-28,96300,97700,94000,95100,210687,-0.0295918367346939
2017-09-29,95500,98400,94900,97000,130721,0.019978969505783484
2017-10-10,94700,96000,94200,95000,121490,-0.020618556701030966
2017-10-11,93400,94700,90500,91000,161332,-0.04210526315789476
2017-10-12,90600,94000,90600,94000,94760,0.03296703296703307
2017-10-13,92800,95300,92300,94300,58961,0.0031914893617022155
2017-10-16,93500,95200,92400,94800,41409,0.005302226935312904
2017-10-17,93800,95100,92800,93800,40727,-0.010548523206751037
2017-10-18,93800,94000,93000,93800,31656,0.0
2017-10-19,93700,94000,92600,93000,43544,-0.008528784648187626
2017-10-20,92100,95100,92100,94700,75668,0.018279569892473146
2017-10-23,93300,95500,92500,93100,68072,-0.0168954593453009
2017-10-24,92600,95700,92600,95600,62675,0.02685284640171859
2017-10-25,94400,95600,93500,94600,58262,-0.010460251046025104
2017-10-26,94000,102000,94000,100500,241723,0.06236786469344602
2017-10-27,99800,103500,99800,100500,243765,0.0
2017-10-30,100500,107000,100000,105500,146117,0.04975124378109452
2017-10-31,106000,108500,103000,106000,105842,0.004739336492890933
2017-11-01,103500,107500,103000,105500,124938,-0.004716981132075526
2017-11-02,105000,110000,104000,108000,93491,0.023696682464454888
2017-11-03,110000,113500,108500,113500,120532,0.05092592592592582
2017-11-06,113500,118000,111000,116500,199183,0.026431718061673992
2017-11-07,116500,119000,114500,116000,132135,-0.0042918454935622075
2017-11-08,115000,117500,113000,116500,118817,0.004310344827586299
2017-11-09,118000,120500,116000,116500,118710,0.0
2017-11-10,116500,121000,116500,120500,87490,0.03433476394849788
2017-11-13,122000,125500,121000,123500,98567,0.024896265560165887
2017-11-14,123500,124500,119500,122000,131763,-0.012145748987854255
2017-11-15,126500,126500,118500,125000,154148,0.024590163934426146
2017-11-16,125500,125500,120500,121000,104990,-0.03200000000000003
2017-11-17,119500,123000,119000,121000,186969,0.0
2017-11-20,122000,125000,119000,124000,157660,0.024793388429751984
2017-11-21,124500,124500,120500,122000,206877,-0.016129032258064502
2017-11-22,121000,123500,121000,121500,122145,-0.004098360655737654
2017-11-23,121000,121500,118500,119500,98245,-0.016460905349794275
2017-11-24,119000,119000,112500,113000,123943,-0.05439330543933052
2017-11-27,113500,119500,113500,118000,153777,0.04424778761061954
2017-11-28,118000,129000,118000,127000,188897,0.07627118644067798
2017-11-29,129000,129500,123500,125000,136688,-0.015748031496062964
2017-11-30,125500,126000,114500,114500,218274,-0.08399999999999996
2017-12-01,115500,123500,115500,120000,154816,0.048034934497816595
2017-12-04,122000,123000,117500,118500,75335,-0.012499999999999956
2017-12-05,117500,120500,116000,116500,84061,-0.016877637130801704
2017-12-06,119000,122000,111500,112000,129920,-0.03862660944206009
2017-12-07,112500,116000,112000,115000,108304,0.02678571428571419
2017-12-08,113500,116000,113000,114000,72500,-0.008695652173912993
2017-12-11,112000,118500,112000,118500,53082,0.03947368421052633
2017-12-12,116500,119000,115500,118500,101288,0.0
2017-12-13,117000,119500,117000,117500,73418,-0.008438818565400852
2017-12-14,116000,122500,116000,116500,152132,-0.008510638297872353
2017-12-15,118000,121000,116500,117000,145418,0.0042918454935623185
2017-12-18,117000,121000,116500,119500,65204,0.02136752136752129
2017-12-19,121000,121000,117000,117500,76008,-0.01673640167364021
2017-12-20,116500,117000,112500,116000,56203,-0.012765957446808529
2017-12-21,114500,116500,110500,111000,66789,-0.0431034482758621
2017-12-22,112000,114000,105500,113500,83414,0.022522522522522515
2017-12-26,111500,111500,107500,108500,112219,-0.04405286343612336
2017-12-27,107000,109000,104000,105000,83970,-0.032258064516129004
2017-12-28,105500,105500,103500,104500,107434,-0.004761904761904745
2018-01-02,104500,107500,104500,107000,96061,0.02392344497607657
2018-01-03,105000,106500,103500,104000,75566,-0.028037383177570097
2018-01-04,105000,105000,100000,101000,135389,-0.028846153846153855
2018-01-05,101000,102000,98400,101500,102044,0.004950495049504955
2018-01-08,103000,104000,101500,103000,63501,0.014778325123152802
2018-01-09,103000,106500,101000,106500,127783,0.03398058252427183
2018-01-10,105000,107000,102500,104500,80737,-0.018779342723004744
2018-01-11,106500,110500,104500,108500,102912,0.038277511961722466
2018-01-12,107500,110000,104500,106000,122191,-0.02304147465437789
2018-01-15,108000,110500,106500,109500,72874,0.03301886792452824
2018-01-16,109000,112000,109000,109500,55818,0.0
2018-01-17,108000,110500,107000,110500,74176,0.009132420091324311
2018-01-18,109500,113500,109000,112500,64537,0.018099547511312153
2018-01-19,112000,116000,111500,115000,81720,0.022222222222222143
2018-01-22,115000,118500,113000,113500,65413,-0.013043478260869601
2018-01-23,113500,118000,113500,117000,60130,0.03083700440528636
2018-01-24,119000,119000,112000,112500,64454,-0.038461538461538436
2018-01-25,112000,115000,110500,112500,61180,0.0
2018-01-26,112000,117500,112000,116000,73178,0.03111111111111109
2018-01-29,117500,120000,116500,119000,64836,0.02586206896551735
2018-01-30,119500,120500,114500,117000,54387,-0.01680672268907568
2018-01-31,118000,118500,107500,117000,71930,0.0
2018-02-01,117000,121000,116500,121000,68693,0.03418803418803429
2018-02-02,122000,128000,121000,125000,195758,0.03305785123966931
2018-02-05,125000,125000,121000,122000,66176,-0.02400000000000002
2018-02-06,122000,122000,115000,120500,114528,-0.012295081967213073
2018-02-07,119500,124500,119000,120500,109111,0.0
2018-02-08,125000,125000,117500,120500,77098,0.0
2018-02-09,114500,120000,114500,115500,140674,-0.04149377593360992
2018-02-12,115500,118000,107000,108500,134903,-0.06060606060606055
2018-02-13,109500,112000,108500,110000,86918,0.01382488479262678
2018-02-14,110500,110500,102000,104500,373256,-0.050000000000000044
2018-02-19,106000,106500,104000,106000,94210,0.014354066985645897
2018-02-20,105500,107000,105000,106500,55574,0.004716981132075526
2018-02-21,108000,115500,106500,113000,146949,0.06103286384976525
2018-02-22,112000,114000,108000,112500,67414,-0.004424778761061954
2018-02-23,113000,117000,111500,114000,58761,0.01333333333333342
2018-02-26,113500,116500,112000,116000,43225,0.01754385964912286
2018-02-27,115000,118000,112000,112500,63603,-0.030172413793103425
2018-02-28,110500,114000,107500,108000,94441,-0.040000000000000036
2018-03-02,105500,110500,105500,109000,47751,0.0092592592592593
2018-03-05,108000,113000,108000,110000,46680,0.00917431192660545
2018-03-06,109500,111000,106000,107000,55402,-0.027272727272727226
2018-03-07,105500,110000,105000,106500,85552,-0.004672897196261627
2018-03-08,108000,114500,107500,112000,113625,0.05164319248826299
2018-03-09,112000,119500,112000,118000,79537,0.0535714285714286
2018-03-12,118500,120000,115500,117500,65057,-0.004237288135593209
2018-03-13,116000,117500,112500,113000,72505,-0.03829787234042559
2018-03-14,113000,114500,108000,109000,79049,-0.03539823008849563
2018-03-15,110500,118500,110000,117000,99174,0.07339449541284404
2018-03-16,120000,121500,117000,120000,104518,0.02564102564102555
2018-03-19,118500,123500,117500,120500,91121,0.004166666666666652
2018-03-20,119000,123500,115000,121500,56199,0.008298755186721962
2018-03-21,119500,121500,119000,119000,48359,-0.020576131687242816
2018-03-22,119000,122000,119000,120000,36131,0.008403361344537785
2018-03-23,117000,120000,117000,117500,62247,-0.02083333333333337
2018-03-26,118500,124000,117500,122000,78965,0.038297872340425476
2018-03-27,122000,127500,121500,126500,99252,0.03688524590163933
2018-03-28,124500,128000,123000,127000,73212,0.0039525691699604515
2018-03-29,128500,129000,124000,128000,74556,0.007874015748031482
2018-03-30,129500,130000,126500,128000,51549,0.0
2018-04-02,130000,136000,127500,132000,106415,0.03125
2018-04-03,132000,138000,131000,135500,117505,0.026515151515151603
2018-04-04,132000,134000,125000,128000,155672,-0.05535055350553508
2018-04-05,128500,131500,123500,125500,116418,-0.01953125
2018-04-06,124000,127000,118500,125500,157655,0.0
2018-04-09,124000,125500,122000,125000,57208,-0.003984063745019917
2018-04-10,123500,130000,123500,129000,94496,0.03200000000000003
2018-04-11,126500,129500,125500,126000,125286,-0.023255813953488413
2018-04-12,127000,128000,124500,125000,60284,-0.007936507936507908
2018-04-13,124500,129500,123000,128000,85466,0.02400000000000002
2018-04-16,127500,129500,126500,128500,29169,0.00390625
2018-04-17,128000,129500,126000,128000,35037,-0.0038910505836575737
2018-04-18,127500,131000,127000,129000,85864,0.0078125
2018-04-19,128000,131000,121000,121500,76753,-0.05813953488372092
2018-04-20,123000,126000,121500,126000,51316,0.03703703703703698
2018-04-23,126000,127500,122000,124500,52236,-0.011904761904761862
2018-04-24,124500,128500,124500,127500,53725,0.024096385542168752
2018-04-25,128500,128500,124000,125000,41883,-0.019607843137254943
2018-04-26,125000,125000,119000,119000,105844,-0.04800000000000004
2018-04-27,120000,124500,119000,123000,113261,0.03361344537815136
2018-04-30,123000,126000,122500,124500,48388,0.012195121951219523
2018-05-02,125000,128000,124500,127500,44602,0.024096385542168752
2018-05-03,128000,129000,121500,121500,59074,-0.04705882352941182
2018-05-04,121500,126000,120000,124000,81698,0.020576131687242816
2018-05-08,127000,127500,123000,125000,80098,0.008064516129032251
2018-05-09,127000,133000,125500,131500,111853,0.052000000000000046
2018-05-10,131500,135000,128000,130500,85078,-0.0076045627376425395
2018-05-11,129500,134000,129500,133500,38882,0.02298850574712641
2018-05-14,136000,137500,133000,133000,61704,-0.0037453183520599342
2018-05-15,131500,133500,124500,125000,154392,-0.06015037593984962
2018-05-16,126500,134500,126500,132500,208081,0.06000000000000005
2018-05-17,133500,134000,127000,127000,166805,-0.04150943396226414
2018-05-18,127500,131000,127500,130000,80124,0.023622047244094446
2018-05-21,132500,132500,125000,127500,120906,-0.019230769230769273
2018-05-23,127500,131000,126500,129500,87080,0.015686274509803866
2018-05-24,129500,131500,127500,129000,54375,-0.0038610038610038533
2018-05-25,129500,131500,129000,130500,71619,0.011627906976744207
2018-05-28,131000,133500,130000,132500,56302,0.015325670498084198
2018-05-29,132500,134500,129500,132500,80708,0.0
2018-05-30,132000,132000,128500,129000,88727,-0.026415094339622636
2018-05-31,130500,133000,129000,129500,154874,0.003875968992248069
2018-06-01,130000,135500,128000,134500,92517,0.03861003861003853
2018-06-04,136500,144500,136000,144500,134899,0.07434944237918217
2018-06-05,144500,144500,140000,141500,79701,-0.02076124567474047
2018-06-07,141500,153500,141500,146000,242853,0.03180212014134276
2018-06-08,148000,153500,147500,148500,127733,0.017123287671232834
2018-06-11,149000,149500,144500,147000,75016,-0.010101010101010055
2018-06-12,150000,152500,147000,148500,92386,0.010204081632652962
2018-06-14,144500,150000,144500,145000,202170,-0.023569023569023573
2018-06-15,147000,150000,145000,149000,155026,0.02758620689655178
2018-06-18,150000,156000,150000,151500,132880,0.016778523489932917
2018-06-19,152500,160000,149000,149500,154266,-0.01320132013201325
2018-06-20,153000,156000,145000,153000,159480,0.02341137123745818
2018-06-21,150500,154500,149000,152000,135835,-0.006535947712418277
2018-06-22,150000,155500,150000,154000,213284,0.013157894736842035
2018-06-25,154500,156500,151500,155000,104411,0.006493506493506551
2018-06-26,156500,158000,147500,148000,196362,-0.04516129032258065
2018-06-27,146500,150500,145500,146000,797285,-0.013513513513513487
2018-06-28,146500,153000,145000,149500,189767,0.023972602739726012
2018-06-29,151000,152500,148000,149000,118047,-0.0033444816053511683
2018-07-02,149500,149500,145000,145000,149958,-0.02684563758389258
2018-07-03,146500,147000,143500,144500,351255,-0.0034482758620689724
2018-07-04,143500,147000,142000,146000,109520,0.01038062283737018
2018-07-05,145000,147000,140000,142000,77990,-0.0273972602739726
2018-07-06,141500,147000,141500,145500,69434,0.02464788732394374
2018-07-09,144500,150500,144500,149000,74097,0.02405498281786933
2018-07-10,148500,149000,146000,146500,51127,-0.016778523489932917
2018-07-11,145000,148500,142000,145000,69127,-0.010238907849829393
2018-07-12,148000,151500,146000,148500,65797,0.024137931034482696
2018-07-13,150000,152500,147000,147000,72309,-0.010101010101010055
2018-07-16,147000,149000,142000,143500,78430,-0.023809523809523836
2018-07-17,143000,143500,135500,136500,144827,-0.04878048780487809
2018-07-18,136500,140000,133000,134000,116939,-0.01831501831501836
2018-07-19,134500,137000,131500,135500,86867,0.011194029850746245
2018-07-20,133000,135500,128000,129500,157052,-0.044280442804428
2018-07-23,130000,131500,128000,131500,72405,0.015444015444015413
2018-07-24,133000,138500,131500,137500,127614,0.04562737642585546
2018-07-25,137500,137500,133000,136000,60326,-0.010909090909090868
